Timestamp,Temperature,Humidity,Soil Moisture,Rainfall,Irrigation Status
2025-04-09 15:13:54.977209,30.78,42.91,496,True,OFF
2025-04-09 15:14:04.979227,33.64,75.66,401,False,OFF
2025-04-09 15:14:14.984512,26.19,63.1,522,True,OFF
2025-04-09 15:14:24.989904,25.31,44.89,345,True,OFF
2025-04-09 15:14:34.993922,24.33,75.0,445,True,OFF
2025-04-09 15:14:44.996418,37.15,69.61,799,False,OFF
2025-04-09 15:14:54.999825,26.46,76.26,578,False,OFF
2025-04-09 15:15:05.012293,21.62,65.83,726,False,OFF
2025-04-09 15:15:15.018196,35.33,73.28,462,False,OFF
2025-04-09 15:15:25.025236,34.84,43.8,763,False,OFF
2025-04-09 15:15:35.034700,24.67,50.99,660,True,OFF
2025-04-09 15:15:45.040889,29.7,77.87,277,False,ON
2025-04-09 15:15:55.051664,28.53,51.28,649,True,OFF
2025-04-09 15:16:05.054378,26.55,87.86,352,False,ON
2025-04-09 15:16:15.060711,29.85,50.46,313,False,ON
2025-04-09 15:16:25.064029,28.54,50.52,513,True,OFF
2025-04-09 15:16:35.068727,33.36,59.74,429,False,OFF
2025-04-09 15:16:45.071677,29.44,69.51,631,True,OFF
2025-04-09 15:16:55.076750,34.04,50.8,276,True,OFF
2025-04-09 15:17:05.080828,36.61,83.78,643,True,OFF
2025-04-09 15:17:15.083902,37.82,64.54,724,True,OFF
2025-04-09 15:17:25.088688,34.44,52.66,622,False,OFF
2025-04-09 15:17:35.094850,38.37,63.94,329,False,ON
2025-04-09 15:17:45.096430,35.79,77.5,266,True,OFF
2025-04-09 15:17:55.100195,21.62,56.27,262,True,OFF
2025-04-09 15:18:05.103413,35.71,57.39,715,True,OFF
2025-04-09 15:18:15.108686,22.61,60.99,518,True,OFF
2025-04-09 15:18:25.114103,21.4,84.41,706,True,OFF
2025-04-09 15:18:35.117697,39.69,69.74,318,False,ON
2025-04-09 15:18:45.119637,36.76,51.53,688,True,OFF
2025-04-09 15:18:55.124840,24.9,84.96,560,True,OFF
2025-04-09 15:19:05.129289,34.44,86.07,710,True,OFF
2025-04-09 15:19:15.134514,33.76,59.77,390,True,OFF
2025-04-09 15:19:25.139099,36.6,46.75,661,True,OFF
2025-04-09 15:19:35.142993,22.49,41.26,553,True,OFF
2025-04-09 15:19:45.146877,32.02,59.94,438,False,OFF
2025-04-09 15:19:55.150290,35.31,88.93,502,True,OFF
2025-04-09 15:20:05.154172,37.17,68.24,345,True,OFF
2025-04-09 15:20:15.161056,20.25,85.88,463,False,OFF
2025-04-09 15:20:25.165138,33.47,82.44,450,True,OFF
2025-04-09 15:20:35.167789,30.12,67.89,659,False,OFF
2025-04-09 15:20:45.171486,25.83,89.44,714,True,OFF
2025-04-09 15:20:55.175180,20.35,50.91,263,False,ON
2025-04-09 15:21:05.177876,32.31,77.58,594,True,OFF
2025-04-09 15:21:15.181610,26.09,48.73,536,True,OFF
2025-04-09 15:21:25.184939,20.2,71.47,257,True,OFF
2025-04-09 15:21:35.188442,32.29,45.45,733,True,OFF
2025-04-09 15:21:45.193236,23.81,69.62,762,True,OFF
2025-04-09 15:21:55.197530,23.1,70.89,687,False,OFF
2025-04-09 15:22:05.201112,35.43,61.1,222,False,ON
2025-04-09 15:22:15.204568,37.38,75.85,372,True,OFF
2025-04-09 15:22:25.206942,28.71,58.04,503,False,OFF
2025-04-09 15:22:35.213277,37.7,43.12,283,False,ON
2025-04-09 15:22:45.217825,27.29,53.2,383,False,ON
2025-04-09 15:22:55.222414,21.82,70.02,309,True,OFF
2025-04-09 15:23:05.227185,38.82,64.22,286,True,OFF
2025-04-09 15:23:15.231444,27.26,56.33,796,False,OFF
2025-04-09 15:23:25.233827,20.07,88.07,550,True,OFF
2025-04-09 15:23:35.237784,37.87,64.25,715,False,OFF
2025-04-09 15:23:45.243032,38.2,50.7,220,False,ON
2025-04-09 15:23:55.247578,35.44,47.51,491,False,OFF
2025-04-09 15:24:05.252868,24.28,80.45,239,True,OFF
2025-04-09 15:24:15.256399,24.91,71.18,461,False,OFF
2025-04-09 15:24:25.258722,28.85,44.82,346,True,OFF
2025-04-09 15:24:35.264287,36.69,45.38,247,True,OFF
2025-04-09 15:24:45.267559,34.89,54.82,534,True,OFF
2025-04-09 15:24:55.271961,26.03,73.77,226,False,ON
2025-04-09 15:25:05.282461,30.26,44.18,530,False,OFF
2025-04-09 15:25:15.300139,31.3,58.58,656,False,OFF
2025-04-09 15:25:25.304959,23.75,42.33,704,True,OFF
2025-04-09 15:25:35.309162,39.44,88.52,648,False,OFF
2025-04-09 15:25:45.313735,30.48,52.0,469,True,OFF
2025-04-09 15:25:55.316177,29.81,86.38,741,True,OFF
2025-04-09 15:26:05.320011,37.94,79.92,533,False,OFF
2025-04-09 15:26:15.326251,24.72,64.76,786,False,OFF
2025-04-09 15:26:25.328113,36.75,49.88,792,False,OFF
2025-04-09 15:26:35.333876,34.19,77.62,646,True,OFF
2025-04-09 15:26:45.337573,21.92,52.34,300,False,ON
2025-04-09 15:26:55.341400,20.17,61.94,682,False,OFF
2025-04-09 15:27:05.345909,39.85,80.63,556,False,OFF
2025-04-09 15:27:15.350716,26.76,59.46,391,True,OFF
2025-04-09 15:27:25.353797,36.36,47.72,336,True,OFF
2025-04-09 15:27:35.359429,31.81,70.32,796,False,OFF
2025-04-09 15:27:45.364388,31.86,47.56,280,True,OFF
2025-04-09 15:27:55.369170,27.07,73.97,473,False,OFF
